timestamp,Red,IR
13:05:39.164,-26.1251,-85.3128
13:05:39.172,-26.1876,-85.0628
13:05:39.182,-25.8751,-85.6878
13:05:39.189,-25.5626,-86.7503
13:05:39.200,-26.4376,-87.0003
13:05:39.209,-26.1876,-87.2503
13:05:39.218,-26.1876,-88.6878
13:05:39.234,-26.3126,-88.5003
13:05:39.244,-25.3126,-88.5003
13:05:39.254,-26.4376,-88.6253
13:05:39.265,-25.8751,-88.5003
13:05:39.275,-25.7501,-89.1253
13:05:39.285,-26.8126,-88.2503
13:05:39.294,-25.7501,-89.1878
13:05:39.305,-26.2501,-88.5003
13:05:39.315,-25.3126,-89.2503
13:05:39.325,-25.1251,-89.0003
13:05:39.336,-26.3751,-89.1253
13:05:39.346,-25.6876,-89.2503
13:05:39.355,-25.8126,-88.8753
13:05:39.364,-26.6251,-88.0003
13:05:39.375,-25.6876,-89.5003
13:05:39.384,-26.3126,-89.1253
13:05:39.395,-27.4376,-89.8753
13:05:39.405,-27.1251,-89.5003
13:05:39.415,-26.6876,-85.3753
13:05:39.425,-24.2501,-75.5003
13:05:39.435,-19.6876,-62.1252
13:05:39.444,-14.4376,-43.3752
13:05:39.454,-9.8125,-27.3126
13:05:39.465,-4.75,-11.6875
13:05:39.475,-0.75,2.875
13:05:39.484,3.125,14.0001
13:05:39.494,6.9375,25.3751
13:05:39.504,9.3125,36.4376
13:05:39.551,11.75,44.0627
13:05:39.553,14.6876,52.5627
13:05:39.582,17.0001,59.8127
13:05:39.585,18.9376,66.7503
13:05:39.589,20.7501,75.0003
13:05:39.589,22.9376,82.2503
13:05:39.589,25.1251,89.0628
13:05:39.593,27.8126,96.4379
13:05:39.620,28.5626,102.3129
13:05:39.622,31.3126,107.8129
13:05:39.622,33.5626,114.7504
13:05:39.653,34.1876,120.438
13:05:39.656,35.6876,122.7505
13:05:39.658,36.3751,125.0005
13:05:39.661,35.8751,126.188
13:05:39.694,36.5626,124.6255
13:05:39.695,35.5001,123.2505
13:05:39.697,34.6251,119.6255
13:05:39.700,33.0626,115.2504
13:05:39.710,31.0626,110.9379
13:05:39.746,29.8126,106.6879
13:05:39.747,29.1251,101.3754
13:05:39.750,27.3751,99.0629
13:05:39.752,26.0626,93.8129
13:05:39.767,25.0001,91.2504
13:05:39.770,23.6251,89.0628
13:05:39.779,22.6251,85.2503
13:05:39.790,22.3126,83.3753
13:05:39.800,21.0001,80.8753
13:05:39.810,19.8126,78.6878
13:05:39.820,19.3126,74.3753
13:05:39.830,18.8126,72.0003
13:05:39.840,17.0626,69.3753
13:05:39.850,15.3751,65.7503
13:05:39.861,14.8751,60.7502
13:05:39.869,13.2501,58.4377
13:05:39.880,12.75,54.9377
13:05:39.890,10.5625,51.0002
13:05:39.899,9.6875,46.5627
13:05:39.910,8.875,42.6877
13:05:39.919,8.0625,38.9376
13:05:39.930,6.3125,35.7501
13:05:39.940,5.0625,31.6876
13:05:39.949,4.0625,26.6876
13:05:39.959,2.875,23.2501
13:05:39.971,2,19.8126
13:05:39.980,1.6875,16.3751
13:05:39.990,0,13.2501
13:05:40.000,-1.625,9.3125
13:05:40.010,-1.625,6.625
13:05:40.019,-2.75,2.75
13:05:40.031,-2.9375,-0.375
13:05:40.041,-4.625,-4.0625
13:05:40.050,-5.5625,-6.625
13:05:40.060,-6.1875,-9.75
13:05:40.071,-7.75,-13.2501
13:05:40.081,-8.875,-16.9376
13:05:40.089,-9.5,-20.8751
13:05:40.099,-10.875,-22.7501
13:05:40.109,-11,-26.7501
13:05:40.120,-12,-29.1876
13:05:40.130,-12.5,-33.0001
13:05:40.144,-13.2501,-35.0001
