timestamp,Red,IR
12:35:43.318,3.3125,29.3126
12:35:43.324,2.5,29.1251
12:35:43.334,1,26.8751
12:35:43.345,0,25.3126
12:35:43.354,-1,24.6876
12:35:43.366,-2.1875,22.3126
12:35:43.374,-3.0625,21.8126
12:35:43.384,-5.125,19.5001
12:35:43.394,-5.625,18.3126
12:35:43.408,-5.5625,16.8751
12:35:43.415,-5.8125,15.5626
12:35:43.425,-6.5625,14.1251
12:35:43.437,-7.5,12.3125
12:35:43.445,-8.1875,11.25
12:35:43.454,-9.0625,9.3125
12:35:43.465,-9.25,6.9375
12:35:43.475,-10.25,5.625
12:35:43.485,-11.4375,2.875
12:35:43.494,-12.375,1.8125
12:35:43.507,-12.4375,-0.875
12:35:43.516,-12.8125,-1.6875
12:35:43.524,-13.1876,-4.0625
12:35:43.534,-13.125,-4.125
12:35:43.544,-13.7501,-5.25
12:35:43.557,-13.4376,-7.625
12:35:43.564,-13.5626,-8.6875
12:35:43.574,-14.6251,-11.6875
12:35:43.584,-16.1876,-11.75
12:35:43.598,-16.6876,-14.2501
12:35:43.630,-17.6876,-15.1251
12:35:43.631,-18.5001,-19.0001
12:35:43.633,-20.3751,-19.6876
12:35:43.641,-21.1251,-22.5626
12:35:43.670,-22.8126,-24.6251
12:35:43.670,-24.5001,-26.8751
12:35:43.673,-25.2501,-29.2501
12:35:43.679,-27.9376,-31.7501
12:35:43.714,-29.5001,-34.6251
12:35:43.716,-31.1876,-36.4376
12:35:43.718,-32.5626,-39.1252
12:35:43.720,-33.1876,-39.9377
12:35:43.758,-34.8126,-41.0627
12:35:43.788,-35.1251,-43.5002
12:35:43.803,-33.6876,-43.3752
12:35:43.805,-35.0626,-44.0002
12:35:43.805,-35.5001,-46.0627
12:35:43.805,-35.7501,-45.8752
12:35:43.819,-36.9376,-49.1252
12:35:43.821,-38.3751,-50.3127
12:35:43.826,-38.0001,-51.1877
12:35:43.829,-38.2501,-52.6877
12:35:43.839,-39.5002,-53.4377
12:35:43.850,-39.7502,-53.8752
12:35:43.860,-39.0001,-55.1252
12:35:43.871,-39.1252,-54.1252
12:35:43.879,-36.0001,-51.2502
12:35:43.889,-31.6876,-46.0627
12:35:43.907,-26.4376,-38.9376
12:35:43.909,-20.8751,-31.2501
12:35:43.924,-13.9376,-19.7501
12:35:43.939,-7.5625,-10.625
12:35:43.940,-1.875,-2.125
12:35:43.951,1.875,6.4375
12:35:43.960,9.625,20.2501
12:35:43.969,11,25.3126
12:35:43.980,13.3751,29.6876
