timestamp,Red,IR
12:42:14.941,-47.5002,-88.5003
12:42:14.946,-41.0627,-78.1878
12:42:14.954,-34.3751,-69.0628
12:42:14.965,-27.3751,-57.0002
12:42:14.976,-19.8126,-44.1877
12:42:14.986,-11.5,-30.9376
12:42:14.995,-5.4375,-19.0626
12:42:15.005,-0.5,-8.9375
12:42:15.023,2.9375,-1.1875
12:42:15.026,4.9375,5.0625
12:42:15.036,6.875,9.6875
12:42:15.045,8.75,13.8751
12:42:15.055,9.625,17.4376
12:42:15.064,10.4375,18.9376
12:42:15.075,11.8125,22.5626
12:42:15.085,12.8125,25.0626
12:42:15.096,13.1876,29.3126
12:42:15.104,15.1251,32.7501
12:42:15.115,17.4376,36.9376
12:42:15.125,20.0626,41.2502
12:42:15.138,22.0001,45.9377
12:42:15.145,23.6876,50.4377
12:42:15.156,26.1876,55.1877
12:42:15.165,27.3751,57.8752
12:42:15.175,29.0626,61.5002
12:42:15.186,29.6876,63.6877
12:42:15.195,30.1251,66.5628
12:42:15.205,30.8126,66.6878
12:42:15.215,30.9376,67.6878
12:42:15.226,29.7501,66.3753
12:42:15.235,28.8126,64.0002
12:42:15.244,26.5001,61.5002
12:42:15.257,24.7501,58.1877
12:42:15.265,23.5001,55.3752
12:42:15.277,21.6876,53.3127
12:42:15.294,21.1876,51.4377
12:42:15.296,19.0626,50.3752
12:42:15.312,19.4376,48.6252
12:42:15.326,17.6251,47.6877
12:42:15.329,16.5626,46.3127
12:42:15.340,17.1876,45.0002
12:42:15.345,15.6876,44.7502
12:42:15.354,15.2501,42.3127
12:42:15.365,13.8126,40.7502
12:42:15.374,12.5625,39.1876
12:42:15.384,11.125,36.9376
12:42:15.398,10.625,34.0001
12:42:15.404,7.8125,30.8751
12:42:15.414,5.4375,29.3751
12:42:15.442,4.0625,25.1251
12:42:15.444,2.1875,22.0001
12:42:15.446,-0.375,18.8751
12:42:15.476,-1.5625,16.3126
12:42:15.477,-2.875,13.6251
12:42:15.479,-4.125,10.4375
12:42:15.488,-5.5625,6.875
12:42:15.499,-8.125,5.1875
12:42:15.530,-9.0625,1.4375
12:42:15.531,-10.1875,-2.5
12:42:15.533,-11.1875,-3.6875
12:42:15.538,-12.75,-7.75
12:42:15.572,-14.4376,-10
12:42:15.574,-15.8126,-12.875
12:42:15.574,-16.4376,-15.8751
12:42:15.583,-17.9376,-19.1251
12:42:15.591,-19.6251,-20.6876
12:42:15.595,-21.1876,-22.9376
12:42:15.617,-22.1876,-26.2501
12:42:15.619,-23.3751,-29.1251
12:42:15.627,-23.5626,-30.1876
12:42:15.636,-23.6876,-32.3126
12:42:15.646,-25.6251,-35.3126
12:42:15.656,-26.8751,-35.9376
12:42:15.665,-26.6251,-39.4377
12:42:15.675,-28.0001,-41.5002
12:42:15.686,-28.9376,-42.5627
12:42:15.695,-29.5001,-45.5002
12:42:15.704,-30.5626,-46.2502
12:42:15.716,-32.0626,-50.2502
12:42:15.725,-32.8751,-51.9377
12:42:15.743,-34.0626,-54.4377
12:42:15.746,-34.8126,-56.8127
12:42:15.761,-34.8751,-57.8752
12:42:15.776,-36.6251,-59.0627
12:42:15.778,-36.6251,-61.7502
12:42:15.788,-37.5001,-62.1877
12:42:15.794,-38.8126,-64.5002
12:42:15.805,-38.6876,-66.3128
12:42:15.817,-40.1877,-67.8753
12:42:15.824,-40.7502,-70.2503
12:42:15.836,-41.4377,-71.3128
12:42:15.845,-42.9377,-73.3128
12:42:15.855,-43.2502,-75.6253
12:42:15.866,-42.8127,-76.1253
12:42:15.875,-43.1252,-77.3753
12:42:15.884,-41.6252,-76.6878
12:42:15.896,-38.4376,-71.5628
12:42:15.904,-33.3751,-65.7503
12:42:15.915,-27.4376,-55.6252
12:42:15.924,-20.5626,-43.8752
12:42:15.934,-12.875,-33.1251
12:42:15.946,-6.9375,-21.0001
12:42:15.954,-1.125,-12.8125
12:42:15.966,3.4375,-3.75
12:42:15.974,6.375,1.6875
12:42:15.985,8.5625,6.1875
12:42:15.997,10.625,9.6875
12:42:16.006,11.8125,12.0625
12:42:16.015,13.0625,15.1251
12:42:16.026,13.5626,18.0001
12:42:16.035,15.4376,19.6251
12:42:16.046,17.1251,22.1876
12:42:16.054,18.0001,25.4376
12:42:16.065,19.6876,28.3126
12:42:16.076,22.4376,33.1876
12:42:16.086,23.8126,35.3126
12:42:16.095,25.8126,39.3127
12:42:16.105,26.6251,43.6877
12:42:16.115,29.1251,44.7502
12:42:16.126,29.4376,48.1877
12:42:16.134,30.0001,49.4377
12:42:16.146,29.7501,50.2502
12:42:16.156,29.8126,50.0002
12:42:16.165,28.5626,49.7502
12:42:16.176,27.7501,48.0627
12:42:16.185,25.6876,46.0627
12:42:16.195,23.8751,42.8752
12:42:16.205,21.1876,39.8127
12:42:16.217,20.2501,36.0626
12:42:16.248,18.5626,33.1876
12:42:16.250,17.1251,32.5001
12:42:16.252,16.3751,29.8751
12:42:16.256,15.3751,28.0626
12:42:16.287,14.3751,27.0001
12:42:16.290,13.7501,26.1251
12:42:16.291,14.1876,25.3751
12:42:16.298,13.1876,24.1251
12:42:16.322,12.6875,22.7501
12:42:16.325,11.5625,23.3126
12:42:16.328,11.3125,19.9376
12:42:16.356,9.4375,17.8126
12:42:16.357,8.3125,16.6251
12:42:16.361,7.9375,14.5001
12:42:16.367,5.8125,11.75
12:42:16.398,3.9375,10.3125
12:42:16.401,3.25,7.8125
12:42:16.403,2.5,5.25
12:42:16.406,0.875,2.25
12:42:16.417,-0.875,1.5
12:42:16.426,-1.625,-2.25
12:42:16.436,-3.3125,-5.0625
12:42:16.444,-4.75,-7.5
12:42:16.456,-6.5625,-8.75
12:42:16.466,-7.75,-11.1875
12:42:16.478,-8.3125,-13.6251
12:42:16.486,-9.6875,-16.6251
12:42:16.495,-11.3125,-18.0001
12:42:16.506,-12.25,-20.2501
12:42:16.518,-13,-22.7501
12:42:16.530,-13.9376,-25.2501
12:42:16.536,-15.3751,-26.1251
12:42:16.545,-15.5626,-28.8751
12:42:16.557,-17.0001,-31.1251
12:42:16.565,-18.6251,-32.8751
12:42:16.575,-19.6251,-34.3751
12:42:16.586,-19.2501,-37.4376
12:42:16.594,-21.0001,-37.3126
12:42:16.607,-20.9376,-40.1252
12:42:16.622,-22.4376,-40.8127
12:42:16.630,-22.6876,-43.1252
12:42:16.635,-23.8126,-45.3752
12:42:16.651,-24.4376,-46.9377
12:42:16.682,-25.6251,-48.5002
12:42:16.684,-26.4376,-50.3127
12:42:16.687,-27.8126,-51.3752
12:42:16.688,-27.7501,-54.5002
12:42:16.696,-28.9376,-55.6877
12:42:16.706,-29.2501,-57.6877
12:42:16.715,-31.0001,-58.6877
12:42:16.725,-31.2501,-61.5002
12:42:16.735,-32.0626,-63.0002
12:42:16.746,-33.5001,-64.0002
12:42:16.756,-33.3126,-65.6253
12:42:16.765,-34.1876,-65.5628
12:42:16.776,-34.6251,-67.5628
12:42:16.784,-35.2501,-67.5628
12:42:16.795,-35.1251,-69.5628
12:42:16.805,-35.2501,-70.5628
12:42:16.817,-36.5001,-71.3128
12:42:16.826,-36.8126,-72.9378
12:42:16.835,-37.8126,-73.6878
12:42:16.846,-38.8126,-76.7503
12:42:16.856,-39.4377,-77.6253
12:42:16.866,-39.9377,-79.4378
12:42:16.875,-40.3752,-79.5628
12:42:16.886,-40.6252,-80.6878
12:42:16.901,-38.2501,-78.8753
12:42:16.906,-35.4376,-72.1878
12:42:16.915,-29.5001,-65.1252
12:42:16.926,-21.6876,-54.3752
12:42:16.935,-15.3751,-42.6252
12:42:16.946,-7.625,-30.7501
12:42:16.956,-1.25,-18.5626
12:42:16.966,4.25,-9.625
12:42:16.980,8.75,-1.25
12:42:16.986,11.25,5.3125
12:42:16.994,13.5001,9.125
12:42:17.029,15.0626,13.6251
12:42:17.031,15.7501,15.1251
12:42:17.033,16.4376,17.7501
12:42:17.091,17.5001,21.3751
12:42:17.153,18.1251,22.7501
12:42:17.153,19.5626,25.6876
12:42:17.173,21.9376,28.9376
12:42:17.173,23.5001,33.4376
12:42:17.173,25.0001,35.8126
12:42:17.177,27.5626,40.3127
12:42:17.177,28.7501,45.8127
12:42:17.182,31.6251,47.5002
12:42:17.184,32.5001,51.8752
12:42:17.184,34.5001,54.0002
12:42:17.190,35.0001,56.2502
12:42:17.202,35.5626,57.9377
12:42:17.212,35.5626,57.8127
12:42:17.221,35.4376,59.1252
12:42:17.231,34.1876,56.9377
12:42:17.240,31.6251,54.1252
12:42:17.251,29.8751,51.0002
12:42:17.261,27.0626,47.7502
12:42:17.275,24.6251,43.5627
12:42:17.280,23.1876,40.6877
12:42:17.291,21.9376,38.3751
12:42:17.301,21.6251,37.2501
12:42:17.311,20.9376,35.8751
12:42:17.321,20.0001,35.3126
12:42:17.330,18.5001,33.3126
12:42:17.341,17.9376,31.8751
12:42:17.351,16.3126,28.6876
12:42:17.361,14.2501,27.0626
12:42:17.371,12.75,24.6876
12:42:17.381,11.875,21.6876
12:42:17.391,10.25,18.6876
12:42:17.400,8.75,17.0626
12:42:17.412,7.375,13.7501
12:42:17.420,6,12.4375
12:42:17.431,4.5625,8.75
12:42:17.443,2.875,7
12:42:17.453,1.0625,2.9375
12:42:17.461,-0.75,1.625
12:42:17.469,-1.8125,-1.9375
12:42:17.481,-3.5,-3.6875
12:42:17.491,-4.5,-5.625
12:42:17.501,-5.4375,-8.3125
12:42:17.511,-6.5625,-9.25
12:42:17.521,-7.75,-12
12:42:17.529,-8.9375,-15.4376
12:42:17.543,-10.25,-16.5626
12:42:17.551,-11.125,-20.3751
12:42:17.560,-12.6875,-20.9376
12:42:17.571,-13.5001,-24.2501
12:42:17.582,-14.0626,-26.1251
12:42:17.591,-14.9376,-27.1876
12:42:17.600,-16.7501,-29.7501
12:42:17.611,-17.3751,-31.9376
12:42:17.634,-18.8751,-32.3126
12:42:17.636,-18.7501,-34.6876
12:42:17.641,-20.7501,-36.9376
12:42:17.671,-20.9376,-38.5626
12:42:17.676,-21.8751,-40.2502
12:42:17.677,-22.8126,-42.0002
12:42:17.687,-23.5626,-44.1252
12:42:17.715,-23.9376,-45.2502
12:42:17.717,-25.3126,-46.7502
12:42:17.719,-25.9376,-48.6252
12:42:17.729,-25.8751,-49.8127
12:42:17.744,-27.1251,-50.7502
12:42:17.747,-27.7501,-53.6877
12:42:17.775,-28.6251,-54.0002
12:42:17.777,-29.0001,-56.5002
12:42:17.781,-29.5626,-56.6877
12:42:17.786,-29.9376,-58.9377
12:42:17.801,-29.3751,-60.0627
12:42:17.806,-30.6876,-61.3127
12:42:17.816,-31.2501,-63.1252
12:42:17.827,-31.7501,-64.5627
12:42:17.837,-32.4376,-65.5627
12:42:17.847,-32.9376,-66.9378
12:42:17.856,-33.0001,-68.0003
12:42:17.866,-33.1876,-68.2503
12:42:17.877,-32.5001,-69.2503
12:42:17.886,-33.3126,-70.9378
12:42:17.896,-34.1251,-71.9378
12:42:17.906,-34.8126,-73.6878
12:42:17.916,-35.5001,-74.5003
12:42:17.938,-35.9376,-76.3128
12:42:17.966,-36.8126,-78.0628
12:42:17.984,-37.8126,-79.1253
12:42:17.988,-37.5001,-78.9378
12:42:17.988,-36.0001,-78.1878
12:42:17.992,-31.8126,-72.2503
12:42:17.992,-27.1876,-65.7503
12:42:17.996,-19.8126,-54.1252
12:42:18.006,-12.3125,-42.8127
12:42:18.016,-4.9375,-30.5626
12:42:18.026,2.0625,-18.6876
12:42:18.037,7.9375,-8.75
12:42:18.046,12.4375,0.0625
12:42:18.056,15.3751,4.6875
12:42:18.065,16.8126,9.1875
12:42:18.076,18.0626,12.0625
12:42:18.086,18.9376,13.3126
12:42:18.095,19.6251,15.7501
12:42:18.106,20.3126,17.0001
12:42:18.116,21.0001,18.6876
12:42:18.126,21.6876,21.6251
12:42:18.136,23.5001,24.5626
12:42:18.146,26.3751,27.0626
12:42:18.156,28.0626,30.0001
12:42:18.167,29.3751,33.8751
12:42:18.176,31.3126,37.4376
12:42:18.186,32.7501,39.6877
12:42:18.196,33.3751,42.8752
12:42:18.205,34.9376,44.4377
12:42:18.216,34.5626,45.6877
12:42:18.228,35.1251,48.5002
12:42:18.237,35.0626,47.6877
12:42:18.246,35.3126,47.8752
12:42:18.257,34.0001,46.1877
12:42:18.267,32.0626,43.9377
12:42:18.276,30.3751,41.1877
12:42:18.286,27.7501,38.1251
12:42:18.296,25.8751,34.3126
12:42:18.306,24.1251,31.6251
12:42:18.316,23.3126,30.0626
12:42:18.326,21.3751,28.3126
12:42:18.338,20.6876,27.2501
12:42:18.345,20.7501,25.8751
12:42:18.356,19.8126,26.3751
12:42:18.366,19.5626,25.0001
12:42:18.376,19.2501,24.8126
12:42:18.386,19.3751,23.6251
12:42:18.396,18.0626,23.4376
12:42:18.406,17.8751,21.6876
12:42:18.416,16.9376,19.5626
12:42:18.444,15.7501,19.1251
12:42:18.447,14.5626,16.1876
12:42:18.504,12.6875,14.2501
12:42:18.509,12.0625,12.3125
12:42:18.510,10.6875,9.875
12:42:18.512,8.4375,7.875
12:42:18.512,7.5,4.6875
12:42:18.518,5.25,2.875
12:42:18.549,3.8125,-0.5
12:42:18.549,2.5,-2
12:42:18.552,0.875,-4.9375
12:42:18.556,-0.75,-7.75
12:42:18.584,-1.3125,-9.5625
12:42:18.588,-3,-12.375
12:42:18.590,-4.3125,-14.5001
12:42:18.596,-6.3125,-17.3751
12:42:18.609,-7,-20.1876
12:42:18.615,-7.8125,-22.3126
12:42:18.629,-8.8125,-24.3126
12:42:18.635,-11.3125,-27.8126
12:42:18.646,-12,-30.0626
12:42:18.656,-13.3126,-32.0001
12:42:18.666,-15.0626,-35.5001
12:42:18.676,-21.8751,-45.0627
12:42:18.687,-22.6876,-46.8127
12:42:18.696,-24.5626,-49.8752
12:42:18.706,-26.0001,-52.3752
12:42:18.716,-28.0001,-54.1252
12:42:18.725,-28.9376,-57.5002
12:42:18.736,-29.6251,-58.9377
12:42:18.746,-30.6251,-61.0627
12:42:18.755,-31.6251,-62.0627
12:42:18.766,-31.3126,-64.3127
12:42:18.778,-31.8126,-64.9377
12:42:18.786,-32.8751,-67.0003
12:42:18.796,-33.6251,-68.5003
12:42:18.806,-34.2501,-70.2503
12:42:18.816,-34.6876,-71.6253
12:42:18.826,-35.3126,-72.6878
12:42:18.835,-34.6876,-72.6253
12:42:18.845,-35.5626,-74.7503
12:42:18.857,-36.1876,-74.6253
12:42:18.866,-36.6876,-77.0003
12:42:18.876,-36.8126,-77.9378
12:42:18.886,-38.0626,-80.0003
12:42:18.895,-38.6876,-81.3753
12:42:18.906,-39.6877,-83.3753
12:42:18.918,-41.0002,-84.6878
12:42:18.926,-41.8752,-86.1253
12:42:18.936,-42.3127,-86.9378
12:42:18.945,-41.7502,-86.6878
12:42:18.956,-39.2502,-84.4378
12:42:18.966,-35.1251,-77.3753
12:42:18.976,-28.5001,-67.1878
12:42:18.986,-20.9376,-56.6877
12:42:18.996,-12.125,-44.5002
12:42:19.006,-5.625,-32.5001
12:42:19.016,0.4375,-22.1251
12:42:19.026,4.75,-14.4376
12:42:19.036,8.375,-8.25
12:42:19.046,8.625,-4.375
12:42:19.055,10.0625,-2.5625
12:42:19.066,9.9375,-1.0625
12:42:19.077,10.25,0.6875
12:42:19.085,10.1875,1.625
12:42:19.097,10.875,2.8125
12:42:19.105,12.3125,5.9375
12:42:19.135,12.75,7.375
12:42:19.137,14.0626,10.3125
12:42:19.139,15.3751,13.5626
12:42:19.147,17.3126,15.8751
12:42:19.184,17.5001,19.3751
12:42:19.185,18.9376,21.2501
12:42:19.187,20.8751,23.3751
12:42:19.189,21.0626,26.0626
12:42:19.197,22.3126,27.0626
12:42:19.231,21.2501,28.1251
12:42:19.233,21.1251,28.1251
12:42:19.236,19.0001,27.6876
12:42:19.259,18.3126,26.2501
12:42:19.261,15.6876,23.5001
12:42:19.288,12.6875,20.5001
12:42:19.304,10.0625,16.5626
12:42:19.308,8.875,14.0001
12:42:19.323,8,12.625
12:42:19.325,6.875,10.25
12:42:19.325,5.75,9.5
12:42:19.325,5.6875,8.6875
12:42:19.326,5.75,7.8125
12:42:19.337,4.75,8.4375
12:42:19.346,4.5,7.5
12:42:19.357,4.25,7.25
12:42:19.365,3.875,6.375
12:42:19.376,3.3125,4.6875
12:42:19.386,2.125,4.0625
12:42:19.396,2.375,2.4375
12:42:19.406,1.125,1.375
12:42:19.416,-0.5,-0.75
12:42:19.426,-1.0625,-2.4375
12:42:19.437,-2.375,-4.625
12:42:19.447,-3.375,-6.75
12:42:19.456,-4.875,-8.5625
12:42:19.466,-6.1875,-11.0625
12:42:19.475,-7.5,-12.75
12:42:19.486,-8,-14.6876
12:42:19.497,-9.75,-17.4376
12:42:19.505,-10.5,-19.3126
12:42:19.516,-10.5,-20.7501
12:42:19.525,-12,-22.3126
12:42:19.536,-12.875,-24.0626
12:42:19.546,-13.7501,-26.3126
12:42:19.556,-14.6251,-27.9376
12:42:19.567,-15.5626,-29.5001
12:42:19.577,-16.3126,-32.4376
12:42:19.586,-16.9376,-32.8751
12:42:19.596,-17.9376,-35.6876
12:42:19.606,-18.4376,-36.5626
12:42:19.616,-20.0626,-37.3751
12:42:19.625,-20.3751,-38.4376
12:42:19.636,-20.7501,-41.6252
12:42:19.646,-22.1251,-42.1252
12:42:19.656,-22.3751,-45.0002
12:42:19.667,-23.5001,-44.9377
12:42:19.676,-24.3751,-47.1252
12:42:19.686,-24.9376,-49.3127
12:42:19.696,-25.0001,-49.8127
12:42:19.705,-25.0626,-52.4377
12:42:19.715,-26.1251,-52.5002
12:42:19.725,-26.6876,-55.0627
12:42:19.736,-26.1251,-54.6877
12:42:19.748,-28.1251,-57.3752
12:42:19.766,-28.6251,-58.5627
12:42:19.769,-29.4376,-60.8127
12:42:19.782,-30.1876,-61.6252
12:42:19.798,-31.4376,-63.8752
12:42:19.800,-33.0626,-65.1252
12:42:19.808,-33.5626,-66.9378
12:42:19.816,-34.2501,-67.8753
12:42:19.826,-34.9376,-68.8753
12:42:19.847,-35.0001,-70.6878
12:42:19.848,-35.8126,-70.5003
12:42:19.858,-36.2501,-71.8128
12:42:19.886,-36.4376,-73.1878
12:42:19.889,-36.4376,-73.0628
12:42:19.891,-36.2501,-75.1253
12:42:19.897,-36.8751,-75.8753
12:42:19.927,-38.0001,-76.6253
12:42:19.929,-38.5626,-78.3128
12:42:19.929,-38.8751,-78.8753
12:42:19.937,-40.1252,-79.8128
12:42:19.966,-40.5002,-80.8753
12:42:19.969,-39.8127,-81.5628
12:42:19.971,-38.0001,-79.5003
12:42:20.003,-34.0626,-73.3753
12:42:20.003,-29.0626,-65.3753
12:42:20.003,-21.9376,-56.1252
12:42:20.009,-14.0001,-43.0627
12:42:20.018,-7.375,-30.5626
12:42:20.028,-0.25,-19.1876
12:42:20.036,4.6875,-7.6875
12:42:20.047,9.375,-1.0625
12:42:20.057,11.625,5.1875
12:42:20.066,13.4376,8.25
12:42:20.076,14.4376,11.125
12:42:20.087,14.2501,12.75
12:42:20.097,15.5626,14.2501
12:42:20.105,15.1251,15.6251
12:42:20.117,16.3751,17.8126
12:42:20.126,17.0001,19.8126
12:42:20.137,18.6251,22.6251
12:42:20.146,20.0001,26.0626
12:42:20.156,22.0626,28.8126
12:42:20.167,23.9376,33.0626
12:42:20.177,26.0626,38.1251
12:42:20.186,27.9376,40.0627
12:42:20.196,29.0001,43.8127
12:42:20.206,31.0001,45.3127
12:42:20.215,31.5626,48.5002
12:42:20.226,32.8751,50.1252
12:42:20.236,32.9376,50.8127
12:42:20.248,32.5626,50.8127
12:42:20.256,31.6876,49.7502
12:42:20.266,29.6251,48.0627
12:42:20.277,28.7501,45.6877
12:42:20.287,26.2501,42.8752
12:42:20.296,24.2501,40.3752
12:42:20.305,23.3126,37.8126
12:42:20.316,22.0626,35.8126
12:42:20.326,21.7501,34.5626
12:42:20.336,21.3751,35.1251
12:42:20.346,21.5626,33.7501
12:42:20.356,20.9376,32.8751
12:42:20.367,20.3751,32.3751
12:42:20.380,19.5626,32.3126
12:42:20.388,18.5626,31.1251
12:42:20.396,18.0626,29.3751
12:42:20.406,16.7501,27.1876
12:42:20.417,15.2501,26.2501
12:42:20.426,14.2501,24.8126
12:42:20.436,13.5001,22.5001
12:42:20.446,11.375,19.3751
12:42:20.456,10,17.3751
12:42:20.466,8.0625,15.0626
12:42:20.477,6.9375,12.6875
12:42:20.487,5.75,9.5
12:42:20.495,3.875,7.875
12:42:20.522,2.4375,6.0625
12:42:20.525,2,3.25
12:42:20.528,0.5,0.375
12:42:20.543,-0.8125,-1.625
12:42:20.548,-2.125,-3.6875
12:42:20.556,-3.5,-6
12:42:20.566,-4.25,-8.4375
12:42:20.576,-5.1875,-11.0625
12:42:20.596,-6.4375,-13
12:42:20.603,-7.625,-15.1251
12:42:20.705,-8.6875,-16.9376
12:42:20.705,-10,-18.8126
12:42:20.705,-10.375,-20.6876
12:42:20.727,-11.9375,-23.0626
12:42:20.727,-13.3126,-24.4376
12:42:20.731,-13.6876,-26.3126
12:42:20.733,-13.8751,-27.9376
12:42:20.767,-15.1876,-29.5626
12:42:20.768,-16.3126,-30.6876
12:42:20.771,-16.3126,-32.8751
12:42:20.773,-17.0626,-34.6251
12:42:20.778,-17.9376,-36.8751
12:42:20.783,-18.8751,-38.3751
12:42:20.801,-20.0626,-39.3127
12:42:20.802,-20.4376,-41.1877
12:42:20.811,-21.6251,-42.9377
12:42:20.820,-22.6876,-44.0627
12:42:20.831,-23.1876,-46.4377
12:42:20.842,-24.3126,-48.6252
12:42:20.851,-25.1251,-50.1252
12:42:20.861,-26.5626,-51.6877
12:42:20.870,-35.1876,-67.0628
12:42:20.881,-36.1876,-68.8128
12:42:20.891,-37.0626,-69.4378
12:42:20.902,-37.2501,-70.5003
12:42:20.916,-36.7501,-72.0628
12:42:20.920,-37.3751,-71.5003
12:42:20.931,-37.1876,-73.0003
12:42:20.941,-36.4376,-73.3753
12:42:20.951,-37.6876,-73.0628
12:42:20.960,-37.3126,-75.0628
12:42:20.971,-37.7501,-75.3753
12:42:20.982,-36.8126,-77.1253
12:42:20.991,-37.0001,-76.6878
12:42:21.001,-36.8751,-76.5003
12:42:21.011,-36.9376,-77.9378
12:42:21.021,-36.3751,-78.3128
12:42:21.031,-37.9376,-77.8128
12:42:21.041,-37.3126,-79.7503
12:42:21.051,-37.6251,-80.1878
12:42:21.061,-38.6251,-81.0628
12:42:21.071,-38.5626,-82.1878
12:42:21.093,-38.5001,-82.1253
12:42:21.094,-36.5626,-80.4378
12:42:21.104,-32.1876,-74.9378
12:42:21.116,-25.6876,-66.1253
12:42:21.126,-18.6876,-55.2502
12:42:21.133,-11,-41.5627
12:42:21.141,-2.0625,-28.5001
12:42:21.151,5,-16.0626
12:42:21.161,11.0625,-4.125
12:42:21.171,16.5626,4.125
12:42:21.181,19.3751,11.1875
12:42:21.191,22.1251,14.8126
12:42:21.201,22.6876,17.7501
12:42:21.211,23.4376,19.9376
12:42:21.222,23.2501,20.4376
12:42:21.231,24.0001,21.2501
12:42:21.241,23.4376,22.6876
12:42:21.251,25.0001,24.1251
12:42:21.262,25.1251,26.1251
12:42:21.272,26.6876,29.1876
12:42:21.281,28.2501,31.6251
12:42:21.292,30.2501,35.2501
12:42:21.301,31.0626,38.8751
12:42:21.311,32.6876,40.5002
