timestamp,Red,IR
12:58:04.867,10.375,10.125
12:58:04.877,12.625,18.5001
12:58:04.887,14.3751,24.5626
12:58:04.897,15.5001,29.1251
12:58:04.908,15.5626,31.5626
12:58:04.916,16.3126,33.6876
12:58:04.926,15.7501,32.6876
12:58:04.938,15.6251,32.6251
12:58:04.947,14.5001,32.3126
12:58:04.956,14.1876,30.8126
12:58:04.966,14.1876,29.1251
12:58:04.976,13.5626,28.0001
12:58:04.987,12.5625,26.5626
12:58:04.997,11.875,26.4376
12:58:05.005,11.625,24.1876
12:58:05.016,10.9375,22.5001
12:58:05.027,11.0625,22.5001
12:58:05.037,10.4375,19.7501
12:58:05.045,9.625,18.2501
12:58:05.056,8.6875,16.5626
12:58:05.066,7.6875,14.9376
12:58:05.075,8.125,13.0625
12:58:05.086,7.125,11.375
12:58:05.098,6.9375,10.4375
12:58:05.107,6.8125,10.125
12:58:05.115,6.4375,8.6875
12:58:05.127,6.25,7.625
12:58:05.138,5.6875,6.25
12:58:05.163,5.5,6.75
12:58:05.166,5.125,5.3125
12:58:05.168,5.1875,4.375
12:58:05.176,4.1875,2.8125
12:58:05.187,3.4375,2.8125
12:58:05.210,3.5,1.4375
12:58:05.217,3.75,-0.0625
12:58:05.219,2.8125,-1.5
12:58:05.233,2.25,-1.75
12:58:05.248,2.5,-3.4375
12:58:05.249,2.1875,-4.9375
12:58:05.257,1.625,-7.3125
12:58:05.266,0.5,-7.3125
12:58:05.277,0.75,-9.375
12:58:05.285,-0.3125,-11.375
12:58:05.297,-0.3125,-12.1875
12:58:05.310,-1.3125,-13.5001
12:58:05.318,-1.9375,-14.8751
12:58:05.327,-1.125,-16.3751
12:58:05.336,-2.5,-17.6251
12:58:05.346,-2.125,-19.0001
12:58:05.355,-2.0625,-20.5001
12:58:05.366,-2.875,-22.1251
12:58:05.388,-3.5625,-23.4376
12:58:05.391,-4,-22.2501
12:58:05.397,-3.375,-23.3126
12:58:05.427,-3.3125,-24.5001
12:58:05.430,-3.8125,-24.8751
12:58:05.432,-3.6875,-24.3751
12:58:05.440,-4,-24.4376
12:58:05.471,-2.9375,-24.3751
12:58:05.473,-3.25,-22.4376
12:58:05.476,-1.125,-17.5001
12:58:05.481,3,-9.25
12:58:05.488,6.625,2.125
